"letter","xbox","ybox","width","height","onpix","xbar","ybar","x2bar","y2bar","xybar","x2ybar","xy2bar","xedge","xedgey","yedge","yedgex","RowID"
"H",7,11,10,8,9,9,7,3,6,10,4,7,5,6,4,9,15045
"Z",4,11,6,8,4,7,8,2,10,11,8,6,2,7,NA,6,16318
"R",1,0,2,0,1,6,10,7,2,7,5,8,2,7,4,9,16943
"F",2,2,3,3,2,6,10,4,5,10,9,5,2,9,3,6,5728
"R",4,7,4,4,2,5,10,8,3,7,4,8,3,7,6,11,17544
"U",5,7,6,5,4,5,7,5,7,9,7,9,3,9,3,6,2972
"D",3,7,5,5,6,9,8,4,4,7,6,5,4,9,7,5,19588
"J",2,8,2,6,1,15,3,4,5,12,1,8,0,7,0,8,4404
"B",2,0,2,1,1,7,8,7,5,7,5,7,1,8,7,8,8193
"M",3,7,4,5,3,8,7,11,1,6,9,8,8,6,0,8,4542
"J",1,6,2,4,1,11,3,9,3,13,7,13,1,6,0,8,4174
"V",2,7,4,NA,2,7,9,3,1,8,12,8,2,11,0,8,11438
"O",4,4,6,7,3,8,6,9,8,7,5,9,3,8,4,8,13186
"X",8,11,11,9,7,6,8,1,8,10,8,9,3,8,4,6,404
"Y",4,5,6,6,6,9,9,6,4,7,7,7,5,11,NA,4,702
"R",2,4,3,3,2,7,7,5,5,6,5,6,2,7,4,8,858
"P",2,4,4,3,2,8,9,3,4,12,4,4,4,10,4,8,13817
"L",4,7,4,5,2,1,1,5,5,1,1,6,0,8,0,8,16681
"J",7,11,6,8,4,10,6,2,5,11,6,8,2,9,7,12,19095
"X",4,8,6,6,4,7,7,3,9,5,6,8,3,8,7,8,1689
"C",5,9,6,7,2,6,8,7,11,6,7,13,1,7,4,8,9092
"T",2,8,4,5,1,8,15,1,6,6,11,8,0,8,0,8,NA
"G",2,0,2,1,1,8,6,6,5,6,5,9,1,8,5,10,2833
"J",2,5,5,4,2,10,5,4,5,14,5,11,1,6,1,7,2622
"E",4,8,5,6,4,7,7,4,NA,11,8,9,2,9,5,7,90
"B",5,9,7,7,6,8,8,4,7,10,5,6,2,8,6,10,9875
"B",3,6,5,4,4,8,7,6,6,7,6,5,2,8,7,10,11957
"U",4,6,5,4,4,7,7,8,6,7,6,10,3,9,5,5,19327
"L",2,5,4,4,2,7,4,1,8,8,2,10,0,7,2,8,9302
"Y",5,7,5,NA,3,6,8,1,7,8,9,5,2,12,4,4,11505
"N",3,7,4,5,2,7,7,14,2,5,6,8,5,8,0,8,5452
"Y",5,5,7,8,8,8,8,7,3,7,7,8,6,10,6,4,2605
"K",3,4,6,2,3,7,7,2,7,10,6,9,4,8,4,7,2663
"I",1,9,1,6,1,7,7,0,8,7,6,8,0,8,3,8,5947
"H",3,4,5,3,3,NA,9,3,6,10,8,8,3,8,3,7,8621
"M",3,3,5,2,3,7,6,3,4,9,7,9,7,5,1,8,11866
"Q",4,6,5,5,4,8,7,7,5,6,7,8,2,8,4,9,8412
"Y",7,10,6,5,3,8,6,3,5,9,8,6,4,10,4,5,11369
"Z",3,7,5,5,3,8,7,2,9,11,5,8,1,7,6,8,15204
"J",1,3,1,2,0,10,6,2,5,11,4,9,0,7,1,7,2069
"A",2,6,4,4,2,11,3,2,2,9,2,9,2,6,2,8,19145
"C",2,3,3,4,1,5,7,6,8,7,6,NA,1,8,4,9,14007
"X",5,8,7,6,5,8,5,3,5,7,7,9,4,8,10,9,14161
"S",5,NA,6,7,3,8,7,4,8,11,6,7,2,9,5,8,3233
"W",8,9,8,6,6,2,10,2,3,10,10,9,7,10,2,7,3072
"Q",3,7,4,5,2,8,7,8,6,6,8,9,3,7,5,10,15804
"K",3,9,4,6,2,3,7,7,2,7,5,11,3,8,2,10,3671
"P",4,8,5,6,3,7,10,2,7,14,6,4,0,10,2,9,18286
"L",4,10,5,7,3,5,3,7,7,2,2,4,1,6,1,5,10170
"S",4,4,5,6,2,7,6,5,9,5,6,10,0,8,9,8,13557
"Y",1,0,2,0,0,7,10,1,3,7,12,8,1,11,0,8,16365
"C",2,1,3,2,1,6,8,7,7,8,7,13,1,9,4,10,2788
"V",3,2,5,3,2,9,12,3,3,5,11,9,2,10,1,9,11690
"R",8,10,8,6,6,7,7,3,5,8,4,8,6,6,7,7,49
"I",5,12,5,6,3,6,11,3,5,13,6,4,1,8,5,8,19911
"T",6,8,6,6,4,6,11,4,6,11,9,5,3,12,2,4,11085
"N",8,12,10,7,4,12,4,3,3,13,1,7,5,7,0,8,19187
"I",5,6,7,7,6,7,9,4,5,7,7,7,3,8,8,8,14753
"M",5,10,5,8,4,7,7,12,2,7,9,8,8,6,0,8,2592
"C",5,10,6,8,2,5,7,7,11,7,6,14,1,8,4,9,18603
"Q",6,9,7,11,9,8,4,8,4,6,5,7,5,8,7,11,14933
"Z",1,0,2,1,0,7,7,2,10,8,6,8,0,8,6,8,18920
"M",6,9,9,7,11,6,5,4,2,6,4,9,14,6,4,6,19242
"J",4,10,4,8,3,15,3,3,5,12,0,7,0,8,0,8,15799
"G",5,10,6,7,4,6,7,7,7,10,7,11,2,9,5,9,4188
"L",5,11,6,8,5,8,4,0,8,9,2,11,2,5,4,9,19441
"N",2,1,3,3,2,7,9,5,4,7,6,6,4,8,1,6,15381
"L",4,8,6,6,3,5,4,1,10,7,2,11,0,7,3,7,7730
"E",3,9,4,7,4,6,7,7,9,8,8,10,3,8,6,8,4457
"Y",8,7,6,10,4,9,7,6,6,4,10,7,5,10,3,7,5374
"A",4,11,6,8,2,8,5,3,1,7,0,8,3,7,2,8,12488
"T",5,7,6,5,5,6,7,7,6,7,6,8,3,9,6,10,2621
"K",4,8,6,6,6,7,8,5,4,7,6,7,7,7,6,11,19638
"L",3,9,4,6,3,6,5,0,8,8,3,11,0,8,2,8,11189
"U",3,5,4,3,2,5,8,5,7,10,9,9,3,9,2,6,7342
"T",6,9,8,6,6,6,7,7,7,8,10,8,5,7,7,9,11641
"B",2,3,4,2,2,9,7,2,5,10,5,6,2,8,4,9,NA
"W",5,8,8,6,5,7,8,4,1,7,9,8,7,11,0,8,16829
"F",9,14,8,8,6,9,8,3,5,12,4,5,5,7,8,9,2866
"J",1,3,2,5,1,12,3,9,3,13,5,13,1,6,0,8,2034
"S",4,8,5,6,6,9,9,5,4,8,4,6,4,9,9,7,19923
"G",9,13,7,7,5,9,6,5,4,9,5,7,3,9,8,9,13811
"W",4,9,5,6,6,7,6,6,2,7,7,8,6,8,4,8,1974
"W",5,11,8,8,4,6,8,5,2,7,8,8,9,9,0,8,8094
"Q",6,7,6,9,6,8,7,6,3,9,8,10,3,8,6,8,11508
"H",9,15,8,8,5,6,7,5,4,8,10,9,7,11,5,9,1918
"T",3,6,4,4,3,6,11,4,5,10,8,5,3,12,2,5,14863
"U",4,5,5,3,2,6,8,6,7,7,10,10,3,9,1,8,2111
"C",3,4,4,6,1,5,6,7,9,6,5,13,1,8,4,9,1355
"N",NA,11,8,8,9,6,7,3,4,8,8,9,8,9,7,5,10809
"K",3,5,5,4,3,5,7,1,7,10,8,11,3,8,3,8,16128
"C",3,7,4,5,2,6,8,9,8,9,7,10,2,11,4,9,19106
"J",6,9,8,7,5,9,4,7,7,8,6,6,2,NA,5,6,6890
"I",4,7,6,8,5,8,8,5,6,7,7,7,4,8,9,9,3308
"Q",5,11,7,8,7,8,4,8,5,6,6,6,5,7,7,10,9078
"H",3,5,4,3,3,8,7,6,6,7,6,6,3,8,3,6,2520
"S",2,7,3,5,3,8,7,7,6,7,8,9,2,10,8,8,3018
"L",4,11,6,9,4,5,4,6,7,2,2,5,1,6,1,5,15952
"F",5,9,7,7,4,6,10,2,6,13,7,5,1,10,2,7,7886
"H",5,5,5,7,3,7,NA,15,1,7,4,8,3,8,0,8,2906
"N",NA,8,6,6,5,7,6,8,5,6,4,7,3,7,3,8,13643
"G",5,8,6,7,7,7,9,5,2,7,7,8,6,11,7,8,12256
"U",3,5,4,4,2,6,8,5,6,6,8,9,6,10,0,7,8951
"V",5,10,8,7,5,7,12,2,3,5,10,9,4,12,2,7,7415
"X",8,12,7,6,4,6,7,2,8,9,6,9,4,5,4,7,8570
"Q",1,0,2,1,0,8,7,6,3,6,6,9,2,8,3,8,10422
"F",3,5,5,4,2,7,10,1,6,13,6,5,3,8,3,7,19470
"B",5,9,8,8,9,7,8,5,4,7,6,8,7,9,8,6,7771
"T",2,1,3,2,2,7,12,3,6,7,10,8,2,11,1,8,19208
"A",2,0,3,1,0,7,4,2,0,7,2,8,2,7,1,8,6452
"V",2,7,4,5,2,9,11,3,3,3,11,9,2,10,1,8,18919
"P",3,4,5,3,2,8,9,3,5,13,4,3,2,8,3,7,5871
"T",2,4,4,6,1,7,14,0,6,8,11,8,0,8,0,8,457
"X",3,3,4,4,1,7,7,4,4,7,6,8,3,8,4,8,NA
"Q",4,8,5,6,5,8,4,7,4,6,6,11,2,8,3,9,17827
"V",4,7,5,5,2,6,11,3,4,8,12,8,2,10,1,9,13273
"A",2,5,4,4,2,7,2,2,2,6,2,8,2,7,2,7,17156
"M",3,3,5,2,3,9,6,3,4,9,5,7,6,5,1,8,1023
"J",4,7,5,5,2,7,7,3,6,15,5,9,0,7,0,7,9393
"D",3,4,4,3,3,7,7,6,7,7,6,5,2,8,3,7,2169
"O",3,6,4,4,NA,7,8,8,7,7,8,7,2,8,4,8,10549
"D",4,8,6,6,4,9,6,5,7,10,3,5,3,8,3,8,11693
"R",3,6,5,4,5,7,7,3,4,7,6,8,6,9,NA,6,3550
"N",3,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8,18517
"K",4,5,6,4,3,6,8,2,7,10,6,9,4,9,NA,7,11250
"D",6,10,8,7,7,7,7,5,6,7,7,8,7,7,3,8,10989
"U",3,4,4,3,2,5,8,5,7,10,9,9,3,9,2,6,13609
"S",1,0,1,0,0,8,7,3,5,5,6,7,0,8,6,8,903
"C",3,7,4,5,2,3,8,5,8,9,9,13,1,8,3,7,1617
"A",2,3,4,2,1,10,2,3,2,10,2,10,2,6,2,8,7658
"D",2,3,3,2,2,9,6,4,6,10,5,6,2,8,2,8,4896
"A",2,4,4,6,2,7,3,3,3,7,1,8,3,6,3,8,12886
"T",2,3,3,5,1,9,14,0,6,5,11,8,0,8,0,8,10546
"P",3,1,4,2,2,5,10,4,4,10,8,4,1,10,3,7,10924
"G",5,11,6,8,3,7,6,8,9,5,5,10,1,8,6,11,18968
"J",5,9,6,7,3,9,5,4,6,15,4,10,0,7,1,7,7461
"P",2,3,4,2,1,7,11,4,3,11,4,2,0,9,3,8,9134
"F",2,5,4,4,2,6,10,2,6,13,7,6,1,9,2,7,3238
"A",6,9,5,5,3,8,3,3,2,7,4,12,5,5,4,7,15037
"O",5,9,7,7,5,7,5,9,5,8,5,11,4,8,4,8,7857
"J",4,8,5,6,2,7,6,4,6,15,6,11,1,6,1,7,7201
"D",4,8,6,6,4,8,7,6,7,10,5,5,3,8,3,8,929
"Y",3,8,5,6,1,6,9,3,1,8,13,8,2,11,0,8,1408
"A",4,9,6,7,6,8,9,8,5,6,5,8,3,6,7,NA,15064
"P",4,10,6,7,4,6,9,7,5,9,7,3,2,10,4,7,17772
"S",2,4,4,2,1,10,7,2,7,10,5,8,1,9,5,10,15821
"K",3,4,4,6,2,3,7,7,2,7,5,11,3,8,3,10,15593
"N",5,9,5,4,2,9,11,5,3,5,6,9,5,11,2,6,19975
"T",3,5,4,3,2,5,12,3,7,11,NA,5,1,11,2,5,2648
"N",2,3,4,2,1,9,7,3,4,10,3,6,5,9,0,7,16673
"R",3,7,5,5,5,6,7,5,6,6,5,8,3,6,4,8,10995
"C",3,5,4,4,2,3,9,4,7,11,10,12,1,9,2,6,8360
"Q",6,7,6,9,7,8,5,7,4,8,6,7,6,8,6,9,2206
"D",5,11,7,8,6,6,7,8,7,6,6,5,3,9,4,9,7303
"E",2,4,2,2,2,7,7,5,7,7,5,9,2,8,5,10,5969
"G",5,7,6,5,4,5,7,5,6,9,8,9,2,9,5,9,11338
"Y",9,11,9,8,6,5,8,0,9,8,9,5,4,13,7,3,5097
"E",5,9,7,6,6,8,8,6,3,6,6,10,5,8,9,8,19190
"Q",4,9,5,8,3,8,9,8,6,6,9,9,3,7,6,10,19120
"G",3,5,4,3,2,6,6,6,5,8,7,11,2,8,4,10,16186
"Y",4,10,5,7,1,7,11,2,3,7,12,8,1,11,0,8,5832
"O",5,10,7,8,3,8,7,8,8,7,6,9,3,8,4,8,13925
"T",5,7,6,5,4,7,9,1,9,10,9,5,0,9,3,5,18950
"E",5,10,3,5,2,6,9,5,8,9,5,10,1,7,6,8,6659
"V",4,4,5,3,2,5,12,2,3,8,10,7,2,10,1,8,13945
"M",6,11,8,8,11,7,8,6,4,7,6,8,6,9,8,8,6073
"E",3,8,3,6,2,3,7,6,9,7,6,14,0,8,7,8,3340
"J",1,4,2,3,1,9,6,2,6,12,4,9,1,7,1,7,15867
"S",4,7,5,5,2,8,7,5,9,5,6,8,0,8,9,8,17953
"V",5,7,5,5,2,3,11,4,3,10,12,8,2,10,1,8,587
"H",5,10,6,7,3,7,6,15,1,7,8,8,3,8,0,8,18640
"U",3,3,4,2,2,5,8,5,7,10,8,9,3,10,2,5,9587
"E",4,9,4,7,3,3,8,6,12,7,5,15,0,8,7,7,1673
"C",6,9,6,7,4,4,7,5,7,10,9,14,4,9,5,5,19969
"N",7,10,9,9,9,8,9,4,4,7,4,7,9,6,7,6,14870
"I",7,11,9,8,6,10,5,2,7,7,7,4,0,9,4,7,11459
"P",3,4,5,2,2,8,9,3,5,13,4,3,1,10,3,8,354
"S",2,5,2,4,2,8,8,7,5,8,5,7,2,8,8,8,2307
"V",5,5,6,4,2,5,12,2,3,8,11,7,3,10,1,7,16553
"F",2,3,3,1,1,6,11,3,5,13,6,4,1,9,1,7,15989
"Z",6,9,8,7,5,9,5,3,9,11,3,11,3,6,7,9,15523
"V",4,8,4,6,2,3,11,3,3,10,11,7,2,10,1,7,15850
"Y",3,6,4,4,1,8,11,2,2,5,12,8,1,11,0,8,17195
"S",6,8,7,6,4,6,9,4,8,11,7,6,2,8,5,5,102
NA,1,2,1,3,1,7,7,1,7,7,6,8,0,8,2,8,13861
"T",2,6,3,4,2,7,12,3,7,7,11,8,1,11,1,7,12578
"Q",4,7,5,7,3,8,7,8,6,6,7,9,3,8,5,9,4562
"E",9,14,7,8,5,7,9,5,5,10,6,10,3,8,7,10,18708
"S",2,4,4,3,2,8,7,2,6,10,5,7,1,9,5,8,9974
"V",4,10,6,8,2,7,8,4,3,7,14,8,3,9,0,8,11476
"A",2,8,4,6,2,12,2,4,3,11,2,10,3,6,3,9,148
"Y",6,8,8,11,11,7,10,4,2,7,8,9,6,13,9,8,8974
"U",2,6,4,4,2,7,9,6,6,6,10,9,3,9,1,7,16973
"X",4,11,5,8,2,7,7,4,4,7,6,8,3,8,4,8,11329
"M",7,9,11,6,8,4,7,3,5,11,10,11,10,9,5,7,16635
"A",4,11,7,8,6,7,5,1,4,5,2,6,5,6,6,6,2181
"V",3,7,5,5,2,9,9,4,1,6,13,8,2,10,0,8,16997
"N",3,5,6,4,3,6,9,2,4,10,7,7,5,8,1,8,18894
"Q",2,4,3,5,3,8,7,6,3,8,6,9,2,9,4,9,15948
"S",6,10,7,8,4,8,7,5,9,11,4,7,2,7,5,9,7172
"L",4,3,4,5,1,1,0,6,6,0,1,NA,0,8,0,8,3001
"M",3,1,4,2,3,7,6,6,5,6,7,7,8,6,2,7,13460
"F",4,9,4,6,2,1,13,5,4,12,11,7,0,8,2,6,12783
"N",4,8,6,6,5,6,7,7,6,7,5,7,3,7,3,8,11999
"W",3,1,5,2,2,8,11,3,2,6,9,8,6,11,1,7,3697
"T",4,9,6,7,5,6,11,2,7,8,11,8,1,12,1,NA,17696
"S",7,11,6,6,3,7,8,3,5,13,7,8,2,8,3,7,6100
"W",7,7,10,6,10,8,8,5,5,7,5,8,9,8,9,6,5471
"B",3,NA,3,5,3,6,6,9,6,6,6,7,2,8,9,10,6411
"A",2,3,4,4,1,10,5,3,1,8,1,8,2,7,2,8,10707
"X",4,8,7,6,3,8,6,1,8,10,4,8,3,8,3,8,17575
"A",2,1,3,1,1,7,4,2,0,7,2,8,3,6,1,8,18976
"X",4,9,5,6,3,7,7,4,4,7,6,7,3,8,4,8,7210
"L",5,11,6,9,4,4,4,1,9,6,1,10,0,6,3,6,1052
"P",4,9,5,6,5,6,9,7,4,9,7,4,2,10,4,7,10741
"J",1,3,2,1,1,11,6,2,5,11,4,8,0,7,1,8,7663
"V",4,9,6,7,1,7,8,4,3,7,14,8,3,9,0,8,19175
"S",7,11,8,9,6,9,7,3,6,10,5,8,3,10,6,9,19016
"E",2,7,4,5,3,7,7,5,8,6,5,8,3,NA,6,9,7251
"J",5,10,6,8,3,6,9,3,6,15,7,8,2,8,2,8,4014
"B",3,5,NA,4,3,7,7,5,5,6,6,6,2,8,6,10,7698
"F",2,7,4,5,3,5,10,2,6,10,9,6,1,10,3,7,14112
"Z",2,1,2,1,1,7,7,3,11,8,6,8,0,8,6,8,399
"U",4,8,5,6,3,4,9,5,6,9,8,9,3,9,2,6,13704
"C",2,1,3,2,1,6,8,7,7,8,7,13,1,10,4,10,12896
"O",4,9,3,4,2,6,7,6,3,9,6,8,4,10,4,7,7124
"E",4,9,5,7,4,4,8,4,8,11,10,10,2,8,4,5,15954
"W",4,5,6,8,4,7,7,4,2,7,8,8,9,9,0,8,12686
"F",4,8,4,5,1,1,13,5,5,12,11,7,0,8,2,6,302
"H",2,1,2,1,2,8,8,5,5,7,6,8,3,8,2,7,10270
"X",2,3,3,4,1,7,7,4,4,7,6,8,3,8,4,8,8347
"S",3,4,4,6,2,9,8,6,9,5,5,6,0,8,9,7,14871
"V",4,7,6,5,4,8,11,2,2,6,10,8,4,10,4,9,1943
"R",4,7,5,5,5,7,8,5,6,6,4,8,3,6,5,9,16027
"S",5,11,6,8,6,8,8,5,8,5,5,8,0,8,9,8,2161
"H",5,7,8,5,5,9,7,3,6,10,4,7,5,8,4,9,19958
"P",4,6,5,4,4,6,7,6,4,7,6,NA,2,9,7,10,4308
"O",3,6,4,4,3,7,8,7,4,9,7,8,3,8,2,8,2263
"G",3,6,4,4,2,6,7,6,5,10,8,11,2,9,4,10,16627
